id,depth,qc,fs
972,5.0,1.14,36.3
972,5.01,1.14,37.6
972,5.02,1.14,41.8
972,5.03,1.14,45.4
972,5.04,1.14,45.4
972,5.05,1.15,47.5
972,5.06,1.15,46.7
972,5.07,1.16,49.2
972,5.08,1.25,53.6
972,5.09,1.72,56.2
972,5.1,2.65,61.0
972,5.11,2.65,64.2
972,5.12,3.95,66.8
972,5.13,5.19,67.4
972,5.14,6.43,67.9
972,5.15,7.6,69.9
972,5.16,8.54,71.9
972,5.17,9.56,69.8
972,5.18,10.81,67.8
972,5.19,12.33,61.6
972,5.2,12.33,68.4
972,5.21,14.13,75.2
972,5.22,15.9,101.1
972,5.23,17.87,146.3
972,5.24,19.79,181.7
972,5.25,21.88,222.2
972,5.26,22.5,176.4
972,5.27,23.19,130.6
972,5.28,24.34,123.6
972,5.29,24.34,134.3
972,5.3,25.82,144.9
972,5.31,28.74,198.0
972,5.32,31.83,281.1
972,5.33,30.97,329.3
972,5.34,35.0,347.3
972,5.35,41.17,317.0
972,5.36,44.77,305.2
972,5.37,44.77,302.6
972,5.38,41.21,314.0
972,5.39,39.65,315.7
972,5.4,40.14,317.5
972,5.41,40.64,324.5
972,5.42,41.28,331.5
972,5.43,42.45,389.5
972,5.44,44.05,447.2
972,5.45,42.76,576.0
972,5.46,44.0,569.6
972,5.47,43.46,563.3
972,5.48,43.82,472.9
972,5.49,43.75,527.0
972,5.5,44.58,424.8
972,5.51,46.24,322.6
972,5.52,47.41,283.4
972,5.53,46.79,275.6
972,5.54,48.14,241.0
972,5.55,50.13,257.4
972,5.56,49.31,233.4
972,5.57,51.37,189.0
972,5.58,51.37,197.3
972,5.59,51.49,189.9
972,5.6,52.38,191.8
972,5.61,51.82,193.7
972,5.62,51.84,200.9
972,5.63,51.86,208.1
972,5.64,52.45,220.3
972,5.65,53.03,221.5
972,5.66,54.79,210.9
972,5.67,56.25,200.2
972,5.68,55.38,193.3
972,5.69,55.78,194.1
972,5.7,56.34,195.0
972,5.71,56.89,201.3
972,5.72,54.95,207.7
972,5.73,56.0,236.4
972,5.74,51.92,243.3
972,5.75,47.84,241.5
972,5.76,47.57,239.8
972,5.77,47.05,235.0
972,5.78,47.29,230.2
972,5.79,46.57,232.2
972,5.8,46.45,133.6
972,5.81,45.13,141.0
972,5.82,44.84,148.5
972,5.83,44.96,163.0
972,5.84,45.08,177.6
972,5.85,45.6,167.3
972,5.86,45.37,189.2
972,5.87,45.88,198.5
972,5.88,46.38,198.6
972,5.89,47.59,194.2
972,5.9,47.59,189.7
972,5.91,48.35,171.4
972,5.92,49.25,192.1
972,5.93,48.6,212.9
972,5.94,47.96,210.1
972,5.95,47.87,229.4
972,5.96,47.77,248.6
972,5.97,48.03,234.4
972,5.98,47.11,220.3
972,5.99,45.6,180.9
972,6.0,45.55,153.7
972,6.01,44.93,117.9
972,6.02,44.31,122.4
972,6.03,44.31,106.3
972,6.04,44.0,100.6
972,6.05,43.81,96.2
972,6.06,43.77,94.6
972,6.07,43.3,97.9
972,6.08,43.1,101.2
972,6.09,41.0,162.1
972,6.1,39.9,188.8
972,6.11,39.43,215.5
972,6.12,39.17,196.2
972,6.13,39.17,211.0
972,6.14,38.54,225.7
972,6.15,36.03,271.0
972,6.16,31.87,269.5
972,6.17,30.55,267.9
972,6.18,29.03,246.5
972,6.19,28.43,238.2
972,6.2,25.37,235.4
972,6.21,22.61,232.7
972,6.22,22.61,227.9
972,6.23,18.18,223.1
972,6.24,17.86,210.5
972,6.25,17.45,224.5
972,6.26,16.88,238.6
972,6.27,16.5,237.4
972,6.28,16.16,237.1
972,6.29,15.94,236.8
972,6.3,15.58,227.9
972,6.31,15.58,219.0
972,6.32,15.05,200.4
972,6.33,14.08,192.6
972,6.34,12.63,191.0
972,6.35,12.69,189.4
972,6.36,12.6,184.8
972,6.37,12.46,184.8
972,6.38,12.13,174.3
972,6.39,12.13,160.7
972,6.4,11.87,147.9
972,6.41,11.51,138.1
972,6.42,11.28,135.3
972,6.43,11.11,75.7
972,6.44,11.11,71.6
972,6.45,10.86,71.6
972,6.46,10.72,68.8
972,6.47,10.58,68.6
972,6.48,10.44,68.3
972,6.49,10.4,68.0
972,6.5,10.38,64.3
972,6.51,10.37,59.4
972,6.52,10.47,58.1
972,6.53,10.57,58.0
972,6.54,10.91,58.6
972,6.55,11.35,59.2
972,6.56,11.91,60.6
972,6.57,12.6,64.0
972,6.58,13.39,68.1
972,6.59,14.2,73.8
972,6.6,14.2,69.4
972,6.61,15.01,78.3
972,6.62,15.67,88.5
972,6.63,16.2,97.1
972,6.64,16.53,106.2
972,6.65,16.74,105.0
972,6.66,16.85,106.6
972,6.67,16.92,108.2
972,6.68,16.94,116.2
972,6.69,16.94,123.8
972,6.7,16.97,131.7
972,6.71,16.93,141.8
972,6.72,16.45,148.5
972,6.73,16.31,143.0
972,6.74,16.29,152.9
972,6.75,16.29,159.9
972,6.76,16.3,164.2
972,6.77,16.32,166.6
972,6.78,16.36,172.2
972,6.79,16.47,173.7
972,6.8,16.55,175.9
972,6.81,16.58,175.9
972,6.82,16.58,176.6
972,6.83,16.64,180.5
972,6.84,16.69,184.0
972,6.85,16.72,184.3
972,6.86,16.72,184.3
972,6.87,16.74,184.2
972,6.88,16.74,184.5
972,6.89,16.76,184.8
972,6.9,16.77,185.7
972,6.91,16.79,186.3
972,6.92,16.79,186.4
972,6.93,16.9,186.7
972,6.94,16.99,186.9
972,6.95,17.06,185.9
972,6.96,17.06,185.0
972,6.97,17.09,184.9
972,6.98,17.03,185.0
972,6.99,17.02,185.2
972,7.0,17.01,187.3
972,7.01,17.01,190.9
972,7.02,16.99,191.0
972,7.03,16.85,190.8
972,7.04,16.85,190.5
972,7.05,16.74,187.2
972,7.06,16.59,187.2
972,7.07,16.48,186.6
972,7.08,16.43,187.5
972,7.09,16.47,188.3
972,7.1,16.43,186.6
972,7.11,16.33,184.9
972,7.12,16.33,176.7
972,7.13,16.13,173.7
972,7.14,15.89,171.5
972,7.15,15.69,170.7
972,7.16,15.5,169.7
972,7.17,15.33,169.0
972,7.18,15.08,168.4
972,7.19,15.08,168.9
972,7.2,14.73,167.1
972,7.21,14.34,162.4
972,7.22,13.95,155.9
972,7.23,13.59,151.7
972,7.24,13.33,146.8
972,7.25,13.33,145.0
972,7.26,13.11,145.0
972,7.27,12.87,141.9
972,7.28,12.57,139.3
972,7.29,12.19,135.1
972,7.3,11.8,131.7
972,7.31,11.4,127.0
972,7.32,11.01,124.2
972,7.33,11.01,121.3
972,7.34,10.69,116.9
972,7.35,10.42,112.5
972,7.36,10.14,110.5
972,7.37,9.92,111.7
972,7.38,9.71,112.9
972,7.39,9.52,109.9
972,7.4,9.52,106.9
972,7.41,9.31,100.0
972,7.42,9.09,97.0
972,7.43,8.87,96.2
972,7.44,8.65,97.3
972,7.45,8.44,97.8
972,7.46,8.24,97.9
972,7.47,8.04,92.5
